rank,robust_score,mean_score,worst_score,score_std,mean_distance_m,min_distance_m,nominal_carry_distance_m,nominal_avg_cd,nominal_avg_cl,nominal_avg_l_over_d,depth_ratio_k_over_d,occupancy,volume_ratio,dimple_count,dimple_diameter_mm
40,152.5268,171.8445,143.3273,14.8881,170.1042,142.4284,170.6623,0.20071,0.05952,0.30883,0.00795,0.526,0.012641850220264319,314,3.4904059999999997
41,149.9025,168.7039,141.1203,14.2386,167.1679,140.5507,167.72,0.22228,0.06975,0.32665,0.00909,0.831,0.0227,314,4.35234
42,149.7113,168.4899,140.9397,14.2317,167.0029,140.4088,167.5544,0.22178,0.06904,0.32406,0.00909,0.812,0.0223,476,3.4904059999999997
43,149.3999,168.1437,140.6433,14.2299,166.744,140.1764,167.2948,0.22046,0.06755,0.31897,0.00909,0.775,0.021286301369863012,456,3.4904059999999997
44,149.0955,167.8044,140.3551,14.2279,166.4898,139.9488,167.0397,0.21915,0.06612,0.31408,0.00909,0.739,0.0203,437,3.4904059999999997
45,148.788,167.4622,140.0628,14.2258,166.2333,139.7199,166.7823,0.21787,0.06469,0.30909,0.00909,0.703,0.019313698630136985,418,3.4904059999999997
46,148.47,167.108,139.7611,14.2238,165.9673,139.4834,166.5154,0.21655,0.06324,0.30398,0.00909,0.666,0.0183,398,3.4904059999999997
47,148.178,166.7826,139.4846,14.2235,165.7243,139.2659,166.2715,0.21523,0.06185,0.29915,0.00909,0.631,0.0173,314,3.8189649999999995
48,147.8672,166.4351,139.1917,14.2197,165.4615,139.035,166.0078,0.21403,0.06051,0.29426,0.00909,0.596,0.016366666666666665,314,3.7094453333333326
49,147.5537,166.0854,138.8949,14.2165,165.1969,138.8031,165.7422,0.21281,0.05918,0.28943,0.00909,0.561,0.015433333333333335,314,3.599925666666667
50,147.239,165.7333,138.599,14.2129,164.9302,138.5701,165.4745,0.21159,0.05785,0.28459,0.00909,0.526,0.0145,314,3.4904059999999997
